"treatment_arm","average_pfs"
"FOLFOX",28.08
"Venetoclax + Azacitidine",27.42
"Gemcitabine",27.12
"Pembrolizumab",27.11
"Trastuzumab",26.93
"Bendamustine + Rituximab",26.81
"Nab-Paclitaxel + Gemcitabine",26.79
"FOLFIRINOX",26.64
"FOLFIRI + Bevacizumab",26.58
"Doxorubicin + Cyclophosphamide",26.46
"Carboplatin + Paclitaxel",26.40
"Palbociclib + Letrozole",26.35
"Imatinib",26.34
"R-CHOP",26.06
"Bevacizumab",25.98
"Osimertinib",25.96
"Cetuximab",25.70
"ABVD",25.53
"Olaparib",25.50
"Enzalutamide",25.36
"Docetaxel",24.85
"Cytarabine + Daunorubicin",24.74
"Abiraterone",24.62
