"treatment_arm","average_os"
"Venetoclax + Azacitidine",47.70
"FOLFIRINOX",47.21
"Nab-Paclitaxel + Gemcitabine",47.13
"FOLFOX",47.05
"Gemcitabine",46.66
"Trastuzumab",46.57
"R-CHOP",46.51
"Pembrolizumab",46.43
"Carboplatin + Paclitaxel",46.40
"Bendamustine + Rituximab",46.32
"Bevacizumab",45.71
"Doxorubicin + Cyclophosphamide",45.69
"Palbociclib + Letrozole",45.69
"Abiraterone",45.68
"Osimertinib",45.55
"FOLFIRI + Bevacizumab",45.53
"Docetaxel",45.28
"Cytarabine + Daunorubicin",45.15
"Cetuximab",44.69
"Olaparib",44.64
"Imatinib",44.38
"ABVD",44.32
"Enzalutamide",44.18
