"treatment_arm","average_cycles"
"R-CHOP",6.92
"Pembrolizumab",6.73
"Osimertinib",6.65
"Imatinib",6.65
"Nab-Paclitaxel + Gemcitabine",6.62
"Abiraterone",6.55
"Venetoclax + Azacitidine",6.53
"Carboplatin + Paclitaxel",6.53
"Enzalutamide",6.52
"ABVD",6.50
"Palbociclib + Letrozole",6.48
"Olaparib",6.48
"FOLFIRINOX",6.46
"FOLFIRI + Bevacizumab",6.44
"Doxorubicin + Cyclophosphamide",6.44
"Trastuzumab",6.41
"Gemcitabine",6.37
"Docetaxel",6.37
"FOLFOX",6.34
"Cetuximab",6.29
"Cytarabine + Daunorubicin",6.24
"Bevacizumab",6.01
"Bendamustine + Rituximab",5.97
