"cancer_type","stage","patient_count"
"Breast","I",146
"Breast","II",247
"Breast","III",360
"Breast","IV",252
"Colorectal","I",93
"Colorectal","II",168
"Colorectal","III",225
"Colorectal","IV",168
"Leukemia","I",73
"Leukemia","II",134
"Leukemia","III",142
"Leukemia","IV",148
"Lung","I",149
"Lung","II",225
"Lung","III",350
"Lung","IV",221
"Lymphoma","I",65
"Lymphoma","II",139
"Lymphoma","III",151
"Lymphoma","IV",123
"Ovarian","I",59
"Ovarian","II",92
"Ovarian","III",124
"Ovarian","IV",107
"Pancreatic","I",73
"Pancreatic","II",110
"Pancreatic","III",121
"Pancreatic","IV",103
"Prostate","I",85
"Prostate","II",138
"Prostate","III",228
"Prostate","IV",181
