"treatment_arm","patient_count"
"Carboplatin + Paclitaxel",419
"Palbociclib + Letrozole",354
"Trastuzumab",347
"Pembrolizumab",324
"Osimertinib",315
"Doxorubicin + Cyclophosphamide",304
"Cetuximab",245
"Abiraterone",213
"Docetaxel",212
"Enzalutamide",207
"FOLFOX",207
"FOLFIRI + Bevacizumab",202
"Cytarabine + Daunorubicin",182
"ABVD",170
"Imatinib",161
"Bendamustine + Rituximab",155
"Venetoclax + Azacitidine",154
"R-CHOP",153
"Gemcitabine",145
"Olaparib",142
"FOLFIRINOX",138
"Bevacizumab",127
"Nab-Paclitaxel + Gemcitabine",124
